,Place,Lat,Long
1,strait bab-el-mandeb,12.574376350000001,43.31281581252398
2,docks  in,47.0954948,-52.9456758
3,indian ocean,-9.9999999,69.9999999
4,yokohama,35.4443947,139.6367727
5,suez,29.974498,32.537086
6,weber river,41.1945417,-111.9911306
7,harmonic,48.135501700000006,-1.620987260447923
8,earth,34.2331373,-102.4107493
9,malabar hill,18.9581616,72.8033665
10,regent street,51.5098444,-0.1362249
11,humboldt river,40.2240269,-118.4211615
12,humboldt range,40.13182125,-124.12257627868264
13,rocky mountains,43.3578532,-110.917506
14,dead sea,31.54096275,35.47858856865619
17,straits malacca,2.1863637000000002,102.26375458681633
19,shanghai river,30.7789424,121.0731222
20,bay bengal,-32.4679193,115.7478116
22,cape good hope,-34.0519818,18.6542303
24,yokohama san,37.4867084,-122.2272418
27,rock island,41.4411786,-90.5766144
28,middle ages,43.0510806,-76.1615904
31,europe,51.0,10.0
32,east,3.9894393,14.178373
35,asia,51.2086975,89.2343748
37,distress    he,37.2397485,131.8684607
38,fire island,40.6475997,-73.1459474
41,green river,41.5290933,-109.466473
43,carson valley,39.1537973,-119.8829618
44,havre,48.5536972,-109.677802
45,andaman islands,12.61123865,92.83165406414926
46,pacific,46.5334929,-123.768029
48,atlantic,39.5143268,-74.6632883
49,red sea,20.29654545,38.53429714399387
50,mississippi,32.9715285,-89.7348497
52,northern,-9.4514165,30.8881001
53,phileas fogg,37.9768783,23.7731777
54,north-east,-21.0244816,27.5147504
55,platte river,40.9172365,-98.2332468
56,sun,22.331829,114.0285535386117
57,hudson,40.7381635,-74.0550731
60,banyas,35.1820319,35.9449068
61,humboldt mountains,-44.6702293,168.2244662
62,of  the north platte river,39.4070799,-105.2595699
63,west end,42.3639186,-71.0638993
64,south-east,-24.9902332,25.726402352052464
65,san pablo bay,38.04753245,-122.3827976428955
